N;Názov Online Kurzu;"Cena Po Zľave";"Normálna Cena";Kategória;Popis
34;Online kurz Best Practices v Marketingu;127;167,5;Marketing, Reklama a Právo;Online kurz Best Practices v Marketingu je zameraný pre všetkých, tých ktorý majú záujem na good practices, odbornú diskusiu, špecialistov marketingu a obchodu. Podporuje  skúseností všetkých, ktorí sa potrebujú orientovať v problematike trhu, a pre ktorých je orientácia v marketingu nevyhnutnou požiadavkou efektívneho riadenia a zvyšovania konkurencieschopnosti firiem. Naučíte sa rozvíjať kariérový rozvoj manažérov firiem a špecialistov. 
35;Online kurz Bezpečnostné Povedomie Zamestnancov;137;180;Manažérske Kurzy;Online kurz Bezpečnostné Povedomie Zamestnancov je určený všetkým užívateľom informačných technológií, najmä zamestnancom organizácií, ktorí majú na starosti bezpečnosť informácií (INFOSEC, ISMS) sú správcovia, alebo majú na starosti spracovanie osobných údajov (GDPR).
36;Online kurz Biznis Audit a Zlepšovanie Biznisu;119;165,2;Marketing, Reklama a Právo;Online kurz Biznis Audit a Zlepšovanie Biznisu je pre teba vhodný, ak sa chceš dozvedieť o prehľade biznis auditu a zlepšovania Biznisu. Prejdeš si monitorovanie organických pozícií v Google vyhľadávači, analýzu kľúčových slov, kontrolu dôležitých biznis a marketingových metrík. Cieľom online kurz Biznis Audit a Zlepšovanie Biznisu bude objasniť situáciu v online marketingu v MSP a ponúknuť ti niekoľko návrhov na zlepšenie situácie pomocou jednotlivých možností, ktoré nie sú finančne náročné a pri správnom používaní ti pomôžu pri dosiahnutí vytýčených cieľov.
37;Online kurz Blender I. Začiatočník;123,5;163;Grafika a Dizajn;Online kurz Blender I. Začiatočník je pre teba skvelou voľbou, ak sa chceš naučiť modelovať 3D grafiku. Oboznámime ťa s prípravou materiálov a základnými princípmi modelovania. Osvojíš si UV mapping a rigging. Možnosti open source programu Blender a jeho základné nástroje budú pre teba samozrejmosťou. Ako absolvent kurzu Blender zvládneš vytvárať 3D scény a pracovať s textúrami a objektmi.
38;Online kurz BPMN Modelovanie Procesov I. Začiatočník;89;117;Programovacie Jazyky;Online kurz BPMN Modelovanie Procesov I. Začiatočník je pre teba ideálny, ak sa chceš venovať grafickému modelovaniu a znázorňovaniu podnikových procesov na profesionálnej úrovni. Najprv ťa oboznámime s procesnými typmi, sémantikou procesu a jednotlivými elementmi. Zistíš, ako klasifikujeme procesy a čo sú to subprocesy. Ukážeme ti rôzne typy diagramov a štýly. Problém ti nebude robiť ani pokročilé modelovanie toku aktivít a dát. Ako absolvent online kurzu BPMN Modelovanie Procesov zvládneš modelovať aj meranú výkonnosť procesov prostredníctvom KPI a KRI.
39;Online kurz BPMN Modelovanie Procesov II. Mierne Pokročilý;118;154,7;Programovacie Jazyky;Online kurz BPMN Modelovanie Procesov II. Pokročilý ťa dovedie k cennejším znalostiam ohľadom modelovania a grafického znázorňovania podnikových procesov. Naučíme ťa správne identifikovať procesy a zavádzanie BPMN do organizácií. Oboznámime ťa podrobne so štruktúrou BPMN a modelovacími elementami a štýlmi. Zvládneš tiež modelovanie transakcií, výsledkov a toku dát.
40;Online kurz Business Model Canvas;168;221,5;Marketing, Reklama a Právo;Online kurz Business Model Canvas Ťa naučí ako úspešne podnikať a ako tvoje podnikanie posunúť čo najďalej. Ako najefektívnejšie získavať nových zákazníkov a akú rolu hrajú brand, firemná kultúra či hodnoty firmy. Pozrieš sa bližšie na podnikateľský model Canvas strategickú šablónu riadenia používanú na rozvoj nových obchodných modelov a zdokumentovanie existujúcich. Zvládneš vizualizáciu definície a ako je možné celý popis rozdeliť do viacerých, navzájom ovplyvňujúcich sa sekcií.
41;Online kurz C# .NET I. Začiatočník;67;88,4;Programovacie Jazyky;Online kurz C# .NET I. Začiatočník je určený pre teba, ak sa chceš naučiť programovať v jazyku C# a tvoriť desktopové aplikácie. Naučíme ťa programovať v prostredí Visual Studio a pracovať s premennými, operátormi a výrazmi. Aritmetické a logické operátory budú pre teba samozrejmosťou. Zvládneš správne používať identifikátory. Naučíme ťa tiež využívať obory platnosti, či písať príkazy. Ako absolvent online kurzu C# budeš mať pevné základy pre tvorbu vlastných aplikácií.
42;Online kurz C# .NET II. Mierne Pokročilý;98;128,7;Programovacie Jazyky;Online kurz C# .NET II. Mierne Pokročilý je určený pre teba, ak sa chceš naučiť programovať v C#. Naučíme ťa vytvárať a spravovať triedy a objekty. Hodnotové a referenčné typy a pretypovanie dát budú pre teba samozrejmosťou. V ďalších častiach ťa naučíme používať dedičnosť. Budeme sa venovať aj metódam ošetrovania chýb a výnimiek či príkazom try a catch. Ako absolvent kurzu C# .NET zvládneš tvoriť a spravovať triedy a objekty. Využívať dedičnosti a odstraňovať chyby bude pre teba hračkou.
43;Online kurz C# .NET III. Tvorba GUI;123;161,2;Programovacie Jazyky;Online kurz C# .NET III. Tvorba GUI je pripravený pre teba, ak sa chceš naučiť tvoriť grafické používateľské rozhranie v C#. Osvojíš si najpoužívanejšie programovacie nástroje. Naučíme ťa, čo je to handler a aké ovládacie prvky môžeš využívať. Tvoriť statické aj dynamické prvky, tlačidlá, posuvníky a prepínače bude pre teba hračkou. Naučíme ťa vytvárať menu a ponuky. Všetko ťa samozrejme naučíme aj poriadne otestovať. Ako absolvent kurzu C# .NET III. Tvorba GUI zvládneš vytvoriť grafické používateľské prostredie so statickými aj dynamickými prvkami.
44;Online kurz C# VIII. WCF a SOAP;159;216;Programovacie Jazyky;Online kurz C# VIII. WCF a SOAP je určený pre teba, ak sa chceš naučiť vytvárať webové služby vo frameworku WCF a zaujíma ťa ich architektúra v C#. Naučíme ťa, čo presne je SOAP a REST a aký je medzi nimi rozdiel. Zvládneš tvoriť webové služby pomocou viacerých modelov. Osvojíš si tiež dotazovanie nad databázami pomocou knižnice ADO.NET. Naučíme ťa používať dátovú väzbu s rozhraním Entity Framework.
45;Online kurz C/C++ GUI;101;132,6;Programovacie Jazyky;Online kurz C/C++ GUI je pre teba vhodný, ak máš skúsenosti s jazykom C/C++. Naučíš sa vývoj a programovanie GUI aplikácií. Podieľať sa na návrhu GUI formulárov. Údržba a rozširovanie GUI programových častí bude pre teba samozrejmosťou. Ovládacie prvky, ako sú tlačidlá a zoznamy jednoducho umiestniš do formulára pre svoj program.
46;Online kurz C/C++ I. Začiatočník;67;88,4;Programovacie Jazyky;Online kurz C/C++ I. je pre teba vhodný, ak si začiatočník v programovaní v C/C++. Uvedieme ťa do sveta procedurálneho programovania. Jazyk C/C++ patrí k najpoužívanejším programovacím jazykom na svete. Naučíme ťa pracovať s dátovými typmi, poliami a riadiacimi štruktúrami. Osvojíš si prácu s funkciami a hlavičkovými súbormi. Pojmy ako rekurzia, inkrementácia či cyklus sa pre teba stanú samozrejmosťou. Ako absolvent online kurzu C/C++ zvládneš vytvoriť svoju vlastnú jednoduchú aplikáciu.
47;Online kurz C/C++ II. Mierne Pokročilý;101;132,6;Programovacie Jazyky;Online kurz C/C++ II. Mierne pokročilý je pre teba vhodný, ak máš skúsenosti s jazykom C/C++. Absolvoval si u nás kurz C/C++ I. Začiatočník. Naučíme ťa pracovať s objektami a triedami, vstupmi, výstupmi a súbormi. Oboznámime ťa s triedou string. Tvoriť reťazce bude pre teba samozrejmosťou.
48;Online kurz C/C++ III. Pokročilý;118;154,7;Programovacie Jazyky;Online kurz C/C++ III. Pokročilý je pre teba vhodný, ak máš väčšie skúsenosti s jazykom C/C++. Absolvoval si kurz C/C++ II. Mierne Pokročilý. Naučíme ťa pracovať s triedami, spracovať textové súbory a reťazce. Pokročilé programovacie techniky a objektovo orientované programovanie budú tvoji najlepší kamaráti. Stať sa plnohodnotným programátorom máš na dosah ruky. Ako absolvent online kurzu C/C++ hravo zvládneš spravovať výnimky a chybové hlásenia.
49;Online kurz C/C++ STL;144;195;Programovacie Jazyky;Online kurz C/C++ STL je pre teba vhodný, ak máš pokročilejšie skúsenosti s C/C++. Oboznámime ťa s algoritmami knižnice STL. Naučíme ťa pracovať so špeciálnymi kontajnermi, reťazcami a číslami. Vstupy/výstupy pomocou tried prúdov budú pre teba hračkou. Ako absolvent online kurzu C/C++ STL zvládneš tvoriť efektívnejšie aplikácie a používať alokátory.
50;Online kurz Content Marketing;119;165,2;Marketing, Reklama a Právo;Online kurz Content Marketing je jedným z osvedčených a funkčných nástrojov marketingu. Online kurz je práve pre teba kde sa naučíš vytvárať hodnotný a relevantný obsahu pre publikum. Unikátny obsah na tvojom webe je kľúčovým prvkom k úspechu. Ak vieš čo, kedy a ako tvoriť tak, aby si zaujal svojich návštevníkov, máš takmer vyhrané. Vydefinujeme si, čo chceš pomocou Content Marketingu dosiahnuť. Ukážeme si ako zaradiť tvoj obsah do firemných newsletterov, na sociálne siete alebo na ďalšie kanály.
51;Online kurz Copywriting I. Začiatočník;50;66,3;Marketing, Reklama a Právo;Online kurz Copywriting I. Začiatočník je určený pre teba, ak sa chceš naučiť písať texty v online svete. Máš minimálne skúsenosti s tvorbou a úpravou obsahu. Naučíme ťa vytvárať a spracovávať pútavé texty spolu s reklamnými sloganmi. Osvojíš si systém AIDA a ADAM. Chrániť svoje texty pred plagiátormi bude pre teba samozrejmosťou. Ako absolvent online kurzu Copywriting hravo zvládneš vytvárať popisy k produktom a službám.
