N;Názov Online Kurzu;"Cena Po Zľave";"Normálna Cena";Kategória;Popis
276;Online kurz Rhinoceros I. Začiatočník;78;102,7;Grafika a Dizajn;Online kurz Rhinoceros I. Začiatočník je pre teba vhodný, ak sa chceš naučiť narábať so softvérom Rhinoceros pre modelovanie priestorových objektov. Naučíme ťa používať okná s pohľadmi, ich rozvrhnutie i vlastnosti. Osvojíš si modelovacie pomôcky, obmedzenie uhlu, zameriavač a vodiacu čiaru. Uchytenie, presné umiestnenie či obmedzenie pohybu objektov sa pre teba stanú samozrejmosťou. Ako absolvent kurzu Rhinoceros I. Začiatočník zvládneš pracovať s bodmi a krivkami ako aj tvoriť plochy a výber objektov.
277;Online kurz SAP Administrácia a Správa;365;475,8;SAP a ABAP;Online kurz SAP Administrácia a Správa je určený pre teba, ak sa chceš naučiť administráciu systému SAP. Naučíme ťa základy používania i celý používateľský koncept. Získaš od nás prehľad o komponentoch systému SAP a novinkách o technologickej infraštruktúre. Business Framework bude pre teba známy pojem. Ako absolvent kurzu SAP Administrácia a správa ľahko zvládneš inštaláciu patchov a updatov, správu databáz MySQL, Oracle a MS SQL. Importovanie a správa číselníkov či interné a externé audity budú pre teba samozrejmosťou.
278;Online kurz SAP Business One I. Začiatočník;269;354;SAP a ABAP;Online kurz SAP Business One poskytuje kompletnú sadu nástrojov, ktoré ti pomôžu riadiť a sprehľadniť tvoje finančné operácie. Automatizuje každodenné účtovné úlohy, ako je vedenie záznamov v hlavnej účtovnej knihe a denníkoch, podporuje výpočty daní či transakcie v niekoľkých menách. Môžeš vykonávať všetky bankové aktivity, vrátane spracovávanie bankových výpisov a platieb, ako aj odsúhlasenie účtov. Ukážeme ti ako riadiť cash flow, sledovať rozpočty a porovnávať skutočné hodnoty oproti plánovaným, a vďaka tomu vidieť, ako si stojíte v danom okamžiku. SAP Business One je ucelené integrované riešenie, ktoré poskytuje úplný prehľad o vašom podnikaní a kompletnú kontrolu nad každým aspektom prevádzky vašej firmy. Zachytáva všetky kriticky dôležité business informácie a umožňuje k nim okamžitý prístup a ich použitie v celej šírke spoločnosti.
279;Online kurz SAP FI Financials I. Začiatočník;253;330,2;SAP a ABAP;Online kurz SAP FI Financials I. Začiatočník je určený pre teba, ak sa chceš naučiť spravovať financie prostredníctvom prostredia SAP ERP. Na online kurze SAP FI Financials I. Začiatočník ťa oboznámime so špecifikami platiacimi pre jednotlivé krajiny a odvetvia. Osvojíš si možnosti využitia SAP ERP v rámci účtovníctva, daňového účtovníctva a bankového účtovníctva. Naučíme ťa investičné, mzdové a konsolidačné funkcie tohto riešenia, ako absolvent kurzu SAP ERP Financials I. Začiatočník zvládneš využívať funkcie finančného riadenia v rámci systému SAP ERP.
280;Online kurz SAP Financie a Controlling FICO;482,9;562,4;SAP a ABAP;Online kurz SAP Financie a Controlling FICO  je pre teba vhodný, ak sa chceš naučiť narábať s informačným systémom SAP. Naučíš sa potrebné základy pre prácu so systémom, prácu s viacerými oknami, individuálne prispôsobenie ponuky či pracovná plocha systému sa stanú pre teba samozrejmosťou. Osvojíš si controlling režijných nákladov a na čo sa využíva. Online kurzom SAP Financie a Controlling zvládneš analýzu ziskovosti, koncepty finančného účtovníctva, príjem platby a vyrovnanie pohľadávky.
281;Online kurz SAP I. Začiatočník;224;292,5;SAP a ABAP;Online kurz SAP I. Začiatočník je pre teba vhodný, ak máš minimálne skúsenosti so systémom SAP. Osvojíš si technologické základy aj orientáciu medzi aplikáciami a komponentmi SAPu. Naučíme ťa implementovať a realizovať svoj projekt. Rovnako ťa naučíme pracovať so zdrojmi, časovými plánmi a podnikovými procesmi. Používanie platformy SAP NetWeaver bude pre teba samozrejmosťou, ako absolvent online kurzu SAP hravo zvládneš výber vhodného SAP riešenia.
282;Online kurz SAP II. Mierne Pokročilý;337;439,4;SAP a ABAP;Online kurz SAP II. Mierne Pokročilý je pre teba vhodný, ak máš skúsenosti so systémom SAP. Alebo si absolvoval kurz SAP I. Začiatočník. Osvojíš si aplikáciu používateľského rozhrania a základy práce s Query. Zoznámime ťa s používaním úloh a oprávnení. Naučíme ťa obsluhovať a konfigurovať bežné úkony v systéme.
283;Online kurz SAP PP Plánovanie a Riadenie Výroby;337;439,4;SAP a ABAP;Online kurz SAP PP Plánovanie a Riadenie Výroby je pre teba vhodný, ak sa chceš naučiť používať informačný systém SAP pre plánovanie a riadenie výroby. Na kurze SAP PP Plánovanie a Riadenie Výroby si osvojíš plánovanie výroby a jeho rozhranie, generovane plánu v čase, výrobné zákazky a objednávky nákupu. Zvládneš aj operatívne a výsledné kalkulácie nákladov. Naučíme ťa kmeňové dáta výroby, kapacity, rozvrhovanie i kalkuláciu. Ako absolvent kurzu SAP PP Plánovanie a riadenie zvládneš plánovanie nákladov na výrobok aj samotné riadenie výroby.
284;Online kurz SAP SD Logistika, Predaj a Expedícia;337;439,4;SAP a ABAP;Online kurz SAP SD Logistika, Predaj a Expedícia je pre teba ideálny, ak sa chceš naučiť efektívne využívať modul SAP SD na manažment logistiky, predaja a expedície. Naučíme ťa efektívne pripravovať doklady a riešiť proces fakturácie či balenia tovaru. Osvojíš si spôsoby evidencie predajov, expedície, tržieb a vráteného tovaru. Ako absolvent kurzu SAP SD Logistika, predaj a expedícia zvládneš manažovanie obchodných záležitostí s modulom SAP SD.
285;Online kurz SAP SD Odbyt a Predaj;337;439,4;SAP a ABAP;Online kurz SAP SD Odbyt a predaj je určený pre teba, ak sa chceš naučiť využívať informačný systém SAP pre odbyt a predaj. Naučíme ťa navigáciu v systéme, štruktúru ponuky i kódy transakcií. Osvojíš si organizačné úrovne, kmeňové dáta či vytváranie odbytových kalkulácií. Ako absolvent kurzu SAP SD Odbyt a predaj zvládneš prácu s predajnými dokladmi, rozvrhnutie expedície a prepravy a fakturáciu. Naučíme ťa, čo je to modul Odbyt a distribúcia.
286;Online kurz SAS Enterprise Guide Štatistika;185;241,80;Databázy a Analytika;Online kurz SAS Enterprise Guide Štatistika ťa naučí vyhodnocovať dáta za pomoci rôznych štatistických metód. Osvojíš si prácu a naučíš sa zaujímavé funkcie SAS Enterprise Guide. Získaš cenné znalosti nevyhnutné na vizualizáciu dát a vytváranie rôznych štatistických a dátových analýz.
287;Online kurz SCRUM;212,92;283,99;Programovacie Jazyky;Online kurz SCRUM je pre teba vhodný, ak sa chceš naučiť agilnú metodiku vývoja softwaru SCRUM. Naučíme ťa plánovať, odhadovať a riadiť zmeny a typické chyby. Budeš dokonale ovládať všetky úlohy a zodpovednosti. Online kurzom SCRUM budeš vedieť Úvod do metodiky SCRUM, čo je to úloha Scrum mastra, a ako si s ňou poradiť, či aká je úloha manažmentu.
288;Online kurz Selenium I. Začiatočník;140;183,3;Programovacie Jazyky;Online kurz Selenium I. Začiatočník je pre teba ideálny, ak sa chceš profesionálne venovať testovaniu softvéru. Oboznámime ťa so základnými testami Selenia, zvládneš vytvoriť test case a spúšťať skripty. Venovať sa budeme aj úpravám skriptov a prepájaniu datapoolu. Naučíme ťa využívať Selenium IDE a zvládneš tiež nahrávanie a ladenie testov.
289;Online kurz Selenium v4 I. Začiatočník;148;193,30;Programovacie Jazyky;Online kurz Selenium v4 I. Začiatočník je pre teba ideálny, ak sa chceš profesionálne venovať testovaniu softvéru. Oboznámime ťa so základnými testami Selenia, zvládneš vytvoriť test case a spúšťať skripty. Venovať sa budeme aj úpravám skriptov. Naučíme ťa využívať Selenium IDE a zvládneš tiež nahrávanie a ladenie testov. Ako absolvent kurzu Selenium v4 dokážeš konvertovať testy do aplikačných kódov.
290;Online kurz SEO - Optimalizácia pre Vyhľadávače I. Začiatočník;61;80,6;Marketing, Reklama a Právo;Online kurz SEO I. Začiatočník je pre teba vhodný, ak máš základné skúsenosti s jazykmi HTML a CSS a chceš sa naučiť SEO. Naučíme ťa techniky na zlepšenie pozície, na ktorej sa tvoja stránka zobrazí vo výsledkoch vyhľadávania. Ako správca stránky si zefektívniš prácu a uľahčíš život. Ako absolvent online kurzu SEO zvládneš optimalizovať stránku v zdrojovom kóde a pripraviť plán optimalizácie.
291;Online kurz SEO - Optimalizácia pre Vyhľadávače II. Mierne Pokročilý;84;110,5;Marketing, Reklama a Právo;Online kurz SEO II. Mierne Pokročilý je pre teba vhodný, ak máš skúsenosti so SEO alebo si absolvoval online kurz SEO I. Začiatočník. Uvedieme ťa do technických aspektov SEO ako je indexovanie a budeš pracovať s Google Search Console. Naučíme ťa prirodzene zlepšovať svoju pozíciu vo vyhľadávačoch a ako sa vyhnúť penalizácii. Osvojíš si techniky budovania spätných odkazov a používanie nástroja Screaming Frog.
292;Online kurz SEO Audit a Zlepšovanie Výsledkov vo Vyhľadávačoch;119;165,2;Marketing, Reklama a Právo;Online kurz SEO Audit a Zlepšovanie Výsledkov vo Vyhľadávačoch je pre teba vhodný, ak máš skúsenosti so SEO. Uvedieme ťa do tajov rôznych SEO praktík. Naučíme ťa prirodzene zlepšovať svoju pozíciu vo vyhľadávačoch a vyhnúť sa penalizácii. Osvojíš si techniky na audit tvojej webovej stránky a analýzu kľúčových slov. Ďalej sa dozvieš o SEO stratégii ale aj využití PPC reklamných systémov.
293;Online kurz Shell Programovanie Správcu Systému;107;140,6;Programovacie Jazyky;Online kurz Shell Programovanie Správcu Systému je určený pre správcov, ktorí potrebujú porozumieť systémovým skriptom, modifikovať ich obsah, vytvárať nové skripty pre automatizáciu úloh, monitorovanie a dialóg s užívateľom. Na kurze sa účastníci dozvedia o možnostiach, ktoré ponúka Shell, zvládnu základné programovacie techniky a na praktických príkladoch sa naučia vytvárať užitočné skripty, ktoré uľahčujú prácu im alebo iným užívateľom.
294;Online kurz Skype for Business I. Začiatočník;73;95,8;Kancelárske Balíky;Online kurz Skype for Business I. Začiatočník získaš vedomosti a zručnosti, ktoré sú potrebné na plánovanie, nasadenie, konfiguráciu a správu riešenia Skype for Business. Naučíš sa, ako nasadiť viacstránkovú a vysoko dostupnú infraštruktúru Skype for Business, ktorá podporuje okamžité správy, konferencie, trvalý rozhovor, archiváciu a monitorovanie. Tiež ťa naučíme, ako spravovať a udržiavať infraštruktúru a ako riešiť problémy, ktoré by mohli vzniknúť. Tento kurz sa zameriava predovšetkým na lokálne nasadenie Skype for Business, ale obsahuje informácie o tom, ako integrovať lokálne nasadenie so Skype for Business Online a ako migrovať z predchádzajúcich verzií Lync Servera.
295;Online kurz SOA I. Začiatočník;230;300,3;Programovacie Jazyky;Online kurz SOA I. Začiatočník je pre teba ideálnou voľbou, ak sa chceš naučiť základné aspekty servisne orientovanej architektúry. Naučíme ťa zásady prvotného nasadenia SOA a základné bezpečnostné princípy. Pojmy ako výmena správ, či metadáta budú pre teba samozrejmosťou. Ako absolvent online kurzu SOA I. Začiatočník zvládneš vypracovanie náročnejších strategických plánov a analýz.
296;Online kurz SOA II. Mierne Pokročilý;213,74;304,99;Programovacie Jazyky;Online kurz SOA II. Mierne Pokročilý je pre teba ideálny, ak sa chceš naučiť vypracovať SOA. Zvládneš modelovanie služieb a samotné budovanie SOA. Naučíme ťa základy jazyka WSDL a SOAP. Osvojíš si možnosti rozšírenia architektúry a podporu platforiem Java EE a .Net. Hravo zvládneš budovať a pracovať s aplikáciou SOA. Ďalšie možnosti jej rozšírenia budú pre teba samozrejmosťou.
297;Online kurz SoapUI;128;172,5;Programovacie Jazyky;Online kurz SoapUI je v súčasnosti najpoužívanejší open source nástroj na testovanie SOAP a REST webových služieb. Ponúka veľa možností - testovanie SOA (Architektúra orientovaná na služby). Naučíme ťa využívať jeho možnosti v systémovom integračnom testovaní.
298;Online kurz Spracovanie Videa I. Začiatočník;89;119,6;Grafika a Dizajn;Online kurz Spracovanie Videa je pre teba vhodný, ak chceš naučiť spracovávať videá na profesionálnej úrovni. Na online kurze ti povieme, aké vybavenie budeš potrebovať v celom procese od natáčania až po postprodukciu. Naučíme ťa ovládať kameru, upravovať videá v strihových programoch, pracovať so zvukom či titulkami. Používať efekty a exportovať, komprimovať a napaľovať video súbory sa stanú pre teba hračkou. Ako absolvent online kurzu Spracovanie videa hravo zvládneš vytvoriť, spracovať, postrihať, ozvučiť a otitulkovať každé video.
299;Online kurz Správne konanie;59;88,4;Marketing, Reklama a Právo;Cieľom online kurzu Správne konanie je oboznámiť ťa o právnych normách v oblasti správneho poriadku a kontrolnej činnosti orgánov verejnej správy s príkladmi praktickej aplikácie. Okrem vybraných otázok týkajúcich sa správneho konania podľa Správneho poriadku bude na online kurze venovaný priestor aj jednému z nových kódexov. Online kurz Správne konanie poskytne účastníkom priestor nielen na získanie informácií k niektorým problematickým otázkam správneho konania, ale aj k novému režimu správneho súdnictva v SR.
300;Online kurz SQL I. Začiatočník;89;112;Databázy a Analytika;Online kurz SQL I. Začiatočník je určený každému, kto chce alebo musí pracovať s SQL databázami. V online kurze SQL I. Začiatočník ti vysvetlíme jednoduché princípy a koncepciu tohto jazyka, jednotlivé kategórie príkazov a definovanie databázových objektov. Naučíš sa pracovať so základnými príkazmi, operátormi a inými funkciami. Dozvieš sa tiež, čo je trojhodnotová logika. Absolvent online kurzu SQL získa výborné základy a bude schopný samostatne tvoriť vlastné dotazy.
301;Online kurz SQL II. Mierne Pokročilý;95;124,8;Databázy a Analytika;Online kurz SQL II. Mierne Pokročilý ťa oboznámi s rozšírenými možnosťami využívania jazyka SQL. Online kurz SQL II. Mierne Pokročilý ťa naučí zvládnuť kombináciu dát v SQL z viacerých tabuliek, tvorbu zložitejších dotazov a osvojíš si možnosti správy dát s pomocou jazyka DML. Problémy ti nebude robiť ani zabezpečenie prostredníctvom jazyka DCL.
302;Online kurz SQL III. Pokročilý;149;195;Databázy a Analytika;Online kurz SQL III. Pokročilý ťa oboznámi s rozšírenými možnosťami využívania jazyka SQL. Online kurz SQL III. Pokročilý ťa naučí zvládnuť kombináciu dát v SQL z viacerých tabuliek, tvorbu zložitejších dotazov a osvojíš si možnosti správy dát s pomocou jazyka DML. Problémy ti nebude robiť ani zabezpečenie prostredníctvom jazyka DCL.
303;Online kurz SQLite I. Začiatočník;89,6;120;Databázy a Analytika;Online kurz SQLite I. Začiatočník je pre teba vhodný, ak si sa rozhodol pre prácu s relačným databázovým systémom SQLite napísaným v C. Oboznámime ťa so základnou dokumentáciou. Naučíš sa tvoriť databázy a tabuľky. Vyznať sa budeš v rozhraní SQLite a zvládneš písať dopyty v jazyku SQL.
304;Online kurz SQLite II. Mierne Pokročilý;95;124,8;Databázy a Analytika;Online kurz SQLite II. Mierne Pokročilý je pre teba ideálnou voľbou, ak sa chceš zdokonaliť v práci s relačným databázovým systémom SQLite. Naučíme ťa tvoriť databázy, tabuľky a písať dopyty v jazyku SQL. Oboznámime ťa s pokročilými selectami a joinami. Zvládneš optimalizáciu výkonu databáz a používanie indexov.
305;Online kurz Stress Management I. Začiatočník;77;104;Manažérske Kurzy;Online kurz Stress Management I. Začiatočník je vhodný pre teba, ak si začiatočník v oblasti stress managementu. Naučíme ťa, čo stres spôsobuje a v akých prípadoch môže byť pre človeka užitočný. Povieme ti, ako proti stresu bojovať. Na praktických cvičeniach si osvojíš ako si overiť svoje schopnosti súvisiace s odolávaním stresu. Po absolvovaní online kurzu Stress Management budeš schopný efektívnejšie pracovať v prostredí plnom stresu a budeš ho vedieť lepšie regulovať.
306;Online kurz SWIFT I. Začiatočník;92;120,9;Programovacie Jazyky;Online kurz SWIFT I. Začiatočník je pre teba ideálnym štartom do sveta programovania v tomto prehľadnom programovacom jazyku. Predstavíme ti základné zásady jazyka SWIFT a pripravíme ťa na tvorbu aplikácií pre zariadenia s operačným systémom iOS. Dôkladne ťa oboznámime s rozhraním SWIFT a naučíme ťa využívať knižnice.
307;Online kurz Symfony I. Začiatočník;112;146,9;Tvorba Web Stránok;Online kurz Symfony I. Začiatočník je pre teba ideálnou voľbou, ak si chceš osvojiť zásady práce s PHP frameworkom Symfony. Ukážeme ti jej jednotlivé súčasti a prehľad EGO. Naučíme ťa, ako spravovať túto platformu a nasadzovať do nej aplikácie. Venovať sa budeme aj plánovaniu, správe základných úloh a vytváraniu udalostí.
308;Online kurz Šifrovanie;96;126,2;Administrácia IT;Online kurz Šifrovanie je pre teba vynikajúcim štartom, ak si sa rozhodol venovať kryptografii a jej využívaniu v praxi. Oboznámime ťa so základnými princípmi kryptografie a nástrojmi, ktoré sa používajú za účelom šifrovania. Zistíš, aké kryptologické algoritmy môžeš využívať a ako budovať dôverné vzťahy.
309;Online kurz Štatistika Jazyk R - Základy;109,2;139,1;Programovacie Jazyky;Online kurz Štatistika Jazyk R - Základy je pre teba ideálny, ak sa chceš naučiť programovať v jazyku R. Naučíme ťa jazyk R ovládať a získavať potrebné dáta. Správna spracovanie údajov a popisná štatistika budú pre teba samozrejmosťou. Osvojíš si základné štatistické analýzy v jazyku R.
310;Online kurz Štatistika pre Manažérov a Marketérov;54;72;Manažérske Kurzy;Online kurz Štatistika pre Manažérov a Marketérov ťa prevedieme všetkými kľúčovými funkciami, ktoré môžu urýchliť tvoju prácu a pomôcť ti robiť inteligentnejšie marketingové rozhodnutia. Excel je nesmierne výkonný nástroj na analýzu marketingových údajov a trendov. Ukážeme ti ako pracovať s marketingovými zdrojmi údajov a vysvetliť základné vzorce pre analýzu.
311;Online kurz Tableau I. Začiatočník;159,37;219,5;Databázy a Analytika;Na online kurze Tableau sa zameriame na to, ako pripraviť dáta pre analýzu a ako efektívne vizualizovať dáta. Naučíš sa, ako analyzovať a zdieľať vaše údaje. Ukážeme si základné techniky vizualizácie údajov a hlavné funkcie Tableau Desktop. Naučíte sa tiež, ako prepojiť podzložky, aby vytvorili informačné a vizuálne zvukové dashboardy pre ďalšiu analýzu a podávanie správ.
312;Online kurz Tableau II. Mierne Pokročilý;219,99;269,99;Databázy a Analytika;V online kurze Tableau sa zameriame na to, ako pripraviť dáta pre analýzu a ako efektívne vizualizovať dáta. Naučíš sa, ako analyzovať a zdieľať vaše údaje. Ukážeme si základné techniky vizualizácie údajov a hlavné funkcie Tableau Desktop. Naučíte sa tiež, ako prepojiť podzložky, aby vytvorili informačné a vizuálne zvukové dashboardy pre ďalšiu analýzu a podávanie správ.
313;Online kurz Testovanie Bezpečnosti Webových Aplikácii;112;146,90;Programovacie Jazyky;Online kurz Testovanie Bezpečnosti Webových Aplikácii je pre teba ideálny, ak sa chceš naučiť vykonávať manuálne aj automatické testy bezpečnosti a ako vhodne jednotlivé testovacie metódy kombinovať. Zoznámiš sa s projektom OWASP, s jeho metodikami a voľne dostupnými nástrojmi. Po absolvovaní kurzu budeš schopní vykonať samostatne penetračné testy webovej aplikácie, správne ohodnotiť riziká spojené s nájdenými zraniteľnosťami a vystaviť záverečnú správu s výsledkami bezpečnostného testu. Okrem toho sa naučíš ako vhodne evidovať a revidovať bezpečnostné nálezy a ako merať prínosy zavedenia bezpečnostného testovania.
314;Online kurz Testovanie Softvéru I. Začiatočník;140;183,3;Programovacie Jazyky;Online kurz Testovanie Softvéru I. Začiatočník je pre teba ideálny, ak chceš naučiť testovať softvér. Oboznámime ťa s potrebnou teóriou a rôznymi úrovňami testovania. Ukážeme ti najčastejšie softvérové chyby. Naučíme ťa testovať softvér a ako správne vypracovať návrhy testov.
315;Online kurz Testovanie Softvéru II. Mierne Pokročilý;168;219,7;Programovacie Jazyky;Online kurz Testovanie Softvéru II. Mierne Pokročilý je pre teba správnou voľbou, ak sa chceš naučiť pokročilý návrh testovacích prípadov spolu so sadami pre testovanie softvéru a management testovania. Naučíme ťa viesť tím testerov a motivovať ich. Osvojíš si rôzne metriky kvality. Získaš informácie o možnostiach automatického testovania a jeho rôznych technikách. Najčastejšie využívané automatizačné nástroje budeš ovládať s ľahkosťou. Ako absolvent online kurzu Testovanie Softvéru budeš schopný nasadzovať automatizované techniky testovania.
316;Online kurz Testovanie Softvéru III. Pokročilý;212,92;283,99;Programovacie Jazyky;Online kurz Testovanie Softvéru je pre teba správnou voľbou, ak sa chceš naučiť pokročilé navrhovanie pre testovanie softvéru a management testovania. Naučíme ťa viesť tím testerov a motivovať ich. Osvojíš si rôzne metriky kvality. Získaš informácie o možnostiach automatického testovania a jeho rôznych technikách. Najčastejšie využívané automatizačné nástroje budeš ovládať s ľahkosťou.
317;Online kurz Time a Stress Management;82;104;Manažérske Kurzy;Online kurz Time a Stress Management je určený pre teba, ak by si rád ovládol svoj time management a stress management. Naučíme ťa, čo stres spôsobuje a v akých prípadoch môže byť pre človeka užitočný. Povieme ti, ako proti stresu bojovať. Na praktických cvičeniach si osvojíš ako si overiť svoje schopnosti súvisiace s odolávaním stresu. Efektívne využívať svoj čas a ako ho mať pod kontrolou. Spoločne si preberieme cvičenia a reálne situácie, ktoré ťa môžu zastihnúť každý deň.
318;Online kurz Time Management I. Začiatočník;56;77,81;Manažérske Kurzy;Online kurz Time Management I. Začiatočník je určený pre teba, ak by si rád ovládol svoj time management. Naučíme ťa efektívne využívať svoj čas a ako ho mať pod kontrolou. Spoločne si preberieme cvičenia a reálne situácie, ktoré ťa môžu zastihnúť každý deň pre lepšie manažovanie času.
319;Online kurz TOGAF Foundation;465;612;Manažérske Kurzy;Online kurz TOGAF ťa naučí pracovať s najpoužívanejším rámcom pre podnikovú architektúru, ktorý poskytuje prístup pre navrhovanie, plánovanie, implementáciu a riadenie architektúry podnikových informačných technológií. TOGAF je dizajn na vysokej úrovni. Typicky je pomocou neho architektúra modelovaná na štyroch úrovniach: business, aplikačné, dátové a technologické. TOGAF je silne závislý na modularizácii, štandardizáciu a už existujúcich, osvedčených technológiách a produktoch. Absolventi TOGAF Foundation získajú cenné informácie a manažérske zhrnutie, ako navrhnúť, implementovať či optimalizovať flexibilné a predovšetkým dostupné služby enterprise architektúry (EA).
320;Online kurz Tvorba UI a Aplikácií v Jave;123;161,2;Programovacie Jazyky;Online kurz Tvorba UI a Aplikácií v Jave je pre teba vhodný, ak sa chceš naučiť  vytvárať user interface v prostredí Java. Naučíme ťa, zamerať sa na maximalizáciu použiteľnosti a používateľského zážitku. Oboznámime ťa ako dosiahnuť pre návštevníka čo najlepší pocit na stránke a neutiekol.
321;Online kurz Tvorba Webstránok WordPress;79,9;110,5;Tvorba Web Stránok;Na online kurze Tvorba Webstránok WordPress ti ukážeme ako vytvoriť  dokonalú webstránku, anketu, Newsletter s novinkami, či ako ochrániš svoj obsah iba pre (V.I.P) registrovaných používateľov. Naučíš sa vytvoriť elektronický obchod a celú jeho správu. Prevedieme ťa nastavením a správou siete webov, budeš tak mať prehľad o svojich projektoch na WordPresse. Dostaneš tipy na propagáciu nového webu.
322;Online kurz TYPO3 I. Začiatočník;112;146,9;Tvorba Web Stránok;Online kurz TYPO3 pre začiatočníkov je vhodný, ak sa chceš naučiť vytvárať a spravovať internetové stránky pomocou CMS TYPO3. Na kurze sa dozvieš, čo všetko dokáže TYPO3, tiež sa naučíš správne nainštalovať systém, či jeho základnú konfiguráciu. Budeš mať prehľad o celom administračnom rozhraní, a naučíš sa ovládať funkcie, nástroje či moduly. Prevedieme ťa nastaveniami celej stránky, vytvoríš si svoju stránku a naučíme ťa ju spravovať.
323;Online kurz Umelá Inteligencia (AI), Automatizácia a Strojové Učenie (ML);128;172,5;Databázy a Analytika;Online kurz Umelá Inteligencia (AI), Automatizácia a Strojové Učenie (ML) je vhodný aj bez programátorských zručností či špecifických znalostí. Osvojíš si úplné základy (AI) a zvýšiš si tak digitálne zručnosti a gramotnosť. Naučíš sa využívať AI v podnikaní, práci ale aj v bežnom živote. Pripravíme ťa na reálne situácie, kedy dochádza ku kontaktu s umelou inteligenciou. Tento online kurz ťa naučí základy strojového učenia, ktoré zahŕňajú, text napísaný špeciálne pre nováčikov v ML a prípadové štúdie z reálneho sveta.
324;Online kurz UML I. Začiatočník;89;117;Programovacie Jazyky;Online kurz UML I. Začiatočník je pre teba vhodný, ak si začínajúci UML softvérový architekt. Na online kurze UML I. Začiatočník ťa naučíme používať CASE nástroje. Aplikovať požiadavky klientov vo forme dokumentácie bude pre teba hračkou. Jazyk UML je modelovací jazyk vo veľkom využívaný v softvérovom inžinierstve. Pri analýze, návrhu a popise programových systémov ťa naučíme využívať objektovo orientovaný prístup. Ako absolvent online kurzu UML zvládneš modelovanie business a IT procesov.
325;Online kurz UML II. Mierne Pokročilý;118;154,7;Programovacie Jazyky;Online kurz UML II. Mierne Pokročilý je pre teba vhodný, ak si softvérový inžinier alebo vývojár. Chceš naučiť dátové UML modelovanie pomocou nástroja StarUML. Naučíme ťa z diagramov dostať zmysluplný zdrojový kód. Ako absolvent kurzu UML II. Mierne Pokročilý zvládneš používať UML ako programovací jazyk. Budeš sa orientovať v modeloch podľa konceptu MDA.
326;Online kurz Unity 3D I. Začiatočník;112;146,9;Programovacie Jazyky;Online kurz Unity 3D I. Začiatočník je pre teba skvelou voľbou, ak sa chceš naučiť tvoriť hry cez engine Unity 3D. Oboznámime ťa s jeho inštaláciou a základnými princípmi. Dokážeš vytvárať scény a objekty, pracovať s grafikou a komponentmi. Naučíme ťa aj pokročilejšie vlastnosti Unity 3D, využívanie pluginov a tvorbu modulov.
327;Online kurz Unity 3D II. Mierne Pokročilý;140;183,3;Programovacie Jazyky;Online kurz Unity 3D II. Pokročilý je pre teba ideálny, ak sa chceš naučiť vytvárať ešte kvalitnejšie hry. Podrobne ťa oboznámime so skriptovaním a využívaním objektov. Naučíme ťa používať audio filtre, efekty a audio mixér. Zvládneš tiež využívať animácie, klipy, slučky. Optimalizácia výkonu bude samozrejmosťou. Venovať sa budeme aj virtuálnej realite a tvorbe hier pre toto prostredie. Ako absolvent kurzu Unity 3D II. Pokročilý zvládneš tvorbu pútavých hier a hier pre virtuálnu realitu.
328;Online kurz Unreal Engine I. Začiatočník;114;150;Programovacie Jazyky;Online kurz Unreal Engine I. Začiatočník ťa naučí vyvíjať hry pomocou softvéru na hranie hier. Unreal Engine je popredný softvér na návrh 3D hier, ktorý profesionáli používajú na vytváranie dnešných špičkových hier. Ukážeme si základy vývoja hier pomocou Unreal Engine. Ukážeme si ako definovať vlastné vstupy a pohyby na ovládanie logiky znakov na definovanie hry.
329;Online kurz Úvod do Programovania;56;74,1;Programovacie Jazyky;Online kurz Úvod do Programovania je pre teba ideálny, ak sa chceš naučiť základy programovania. Na kurze Úvod do Programovania ťa naučíme rozhodnúť sa, na akej platforme budeš vyvíjať. Dostaneš od nás ideálne základy pre programovanie v ľubovoľnom jazyku. Naučíme ťa pracovať s dátovými typmi, podmienkami a cyklami. Ukážeme ti to na príkladoch v jazykoch C/C++, Java a Python. Ako absolvent kurzu Úvod do Programovania zvládneš odstraňovať chyby zo zdrojového kódu a debugovať.
330;Online kurz UX/UI I. Začiatočník;84;110,5;Grafika a Dizajn;Online kurz UX/UI I. Začiatočník je pre teba ideálnou voľbou, ak sa chceš naučiť navrhovať používateľské prostredie. Ukážeme ti rozdiely medzi UX a UI. Naučíme ťa tvoriť UX dizajn a intuitívne používateľské prostredie. Zvládneš dizajnovať pomocou emócií. Osvojíš si navrhovanie prostredia aplikácií a webov.
331;Online kurz UX/UI II. Mierne Pokročilý;112;146,9;Grafika a Dizajn;Online kurz UX/UI II. Mierne Pokročilý je určený pre teba, ak sa chceš naučiť sofistikovanejšie techniky tvorby používateľského prostredia. Ukážeme ti rôzne spôsoby UX manažmentu a možnosti merania a testovania. Naučíme ťa, ako grafika ovplyvňuje ľudské vnímanie. Osvojíš si pokročilé techniky UX a UI. Naučíme ťa tiež, čo je to Flow Modeling a Natural mapping. Ako absolvent online kurzu UX/UI zvládneš vytvárať dizajn zameraný na používateľa.
